"NEGERI","year","week","No_of_dengue_case"
"SELANGOR",2012," 9","276"
"WPKL/PUTRAJAYA",2012," 9","43"
"N.SEMBILAN",2012," 9","10"
"MELAKA",2012," 9","19"
"JOHOR",2012," 9","38"
"PAHANG",2012," 9","19"
"TERENGGANU",2012," 9","22"
"KELANTAN",2012," 9","43"
"SARAWAK",2012," 9","21"
"SABAH",2012," 9","8"
"LABUAN",2012," 9","1"
"MALAYSIA",2012," 9","567"
"PERLIS",2013," 9","2"
"KEDAH",2013," 9","6"
"PULAU PINANG",2013," 9","14"
"PERAK",2013," 9","48"
"SELANGOR",2013," 9","162"
"WPKL/PUTRAJAYA",2013," 9","64"
"N.SEMBILAN",2013," 9","8"
"MELAKA",2013," 9","11"
"JOHOR",2013," 9","31"
"PAHANG",2013," 9","10"
"TERENGGANU",2013," 9","5"
"KELANTAN",2013," 9","25"
"SARAWAK",2013," 9","33"
"SABAH",2013," 9","14"
"LABUAN",2013," 9","0"
"MALAYSIA",2013," 9","433"
"PERLIS",2014," 9","2"
"KEDAH",2014," 9","15"
"PULAU PINANG",2014," 9","32"
"PERAK",2014," 9","147"
"SELANGOR",2014," 9","1159"
"WPKL/PUTRAJAYA",2014," 9","171"
"N.SEMBILAN",2014," 9","114"
"MELAKA",2014," 9","64"
"JOHOR",2014," 9","104"
"PAHANG",2014," 9","22"
"TERENGGANU",2014," 9","14"
"KELANTAN",2014," 9","151"
"SARAWAK",2014," 9","33"
"SABAH",2014," 9","22"
"LABUAN",2014," 9","2"
"MALAYSIA",2014," 9","2052"
"PERLIS",2015," 9",NA
"KEDAH",2015," 9",NA
"PULAU PINANG",2015," 9",NA
"PERAK",2015," 9",NA
"SELANGOR",2015," 9",NA
"WPKL/PUTRAJAYA",2015," 9",NA
"N.SEMBILAN",2015," 9",NA
"MELAKA",2015," 9",NA
"JOHOR",2015," 9",NA
"PAHANG",2015," 9",NA
"TERENGGANU",2015," 9",NA
"KELANTAN",2015," 9",NA
"SARAWAK",2015," 9",NA
"SABAH",2015," 9",NA
"LABUAN",2015," 9",NA
"MALAYSIA",2015," 9","0"
"PERLIS",2010," 10","0"
"KEDAH",2010," 10",NA
"PULAU PINANG",2010," 10","24"
"PERAK",2010," 10","46"
"SELANGOR",2010," 10","467"
"WPKL/PUTRAJAYA",2010," 10","169"
"N.SEMBILAN",2010," 10","32"
"MELAKA",2010," 10","10"
"JOHOR",2010," 10","59"
"PAHANG",2010," 10","33"
"TERENGGANU",2010," 10","18"
"KELANTAN",2010," 10","27"
"SARAWAK",2010," 10","106"
"SABAH",2010," 10","39"
"LABUAN",2010," 10","0"
"MALAYSIA",2010," 10","1030"
"PERLIS",2011," 10","0"
"KEDAH",2011," 10","12"
"PULAU PINANG",2011," 10","36"
"PERAK",2011," 10","39"
"SELANGOR",2011," 10","116"
"WPKL/PUTRAJAYA",2011," 10","26"
"N.SEMBILAN",2011," 10","27"
"MELAKA",2011," 10","12"
"JOHOR",2011," 10","38"
"PAHANG",2011," 10","32"
"TERENGGANU",2011," 10","14"
"KELANTAN",2011," 10","12"
"SARAWAK",2011," 10","22"
"SABAH",2011," 10","16"
"LABUAN",2011," 10","0"
"MALAYSIA",2011," 10","402"
"PERLIS",2012," 10","9"
"KEDAH",2012," 10","10"
"PULAU PINANG",2012," 10","22"
"PERAK",2012," 10","41"
"SELANGOR",2012," 10","219"
"WPKL/PUTRAJAYA",2012," 10","51"
"N.SEMBILAN",2012," 10","9"
"MELAKA",2012," 10","10"
"JOHOR",2012," 10","35"
"PAHANG",2012," 10","15"
"TERENGGANU",2012," 10","9"
"KELANTAN",2012," 10","38"
"SARAWAK",2012," 10","25"
"SABAH",2012," 10","11"
"LABUAN",2012," 10","0"
"MALAYSIA",2012," 10","504"
"PERLIS",2013," 10","3"
"KEDAH",2013," 10","12"
"PULAU PINANG",2013," 10","11"
"PERAK",2013," 10","34"
"SELANGOR",2013," 10","152"
"WPKL/PUTRAJAYA",2013," 10","45"
"N.SEMBILAN",2013," 10","8"
"MELAKA",2013," 10","11"
"JOHOR",2013," 10","34"
"PAHANG",2013," 10","12"
"TERENGGANU",2013," 10","4"
"KELANTAN",2013," 10","28"
"SARAWAK",2013," 10","24"
"SABAH",2013," 10","12"
"LABUAN",2013," 10","0"
"MALAYSIA",2013," 10","390"
"PERLIS",2014," 10","1"
"KEDAH",2014," 10","6"
"PULAU PINANG",2014," 10","45"
"PERAK",2014," 10","115"
"SELANGOR",2014," 10","876"
"WPKL/PUTRAJAYA",2014," 10","166"
"N.SEMBILAN",2014," 10","43"
"MELAKA",2014," 10","48"
"JOHOR",2014," 10","113"
"PAHANG",2014," 10","26"
"TERENGGANU",2014," 10","9"
"KELANTAN",2014," 10","144"
"SARAWAK",2014," 10","17"
"SABAH",2014," 10","21"
"LABUAN",2014," 10","0"
"MALAYSIA",2014," 10","1630"
"PERLIS",2015," 10",NA
"KEDAH",2015," 10",NA
"PULAU PINANG",2015," 10",NA
"PERAK",2015," 10",NA
"SELANGOR",2015," 10",NA
"WPKL/PUTRAJAYA",2015," 10",NA
"N.SEMBILAN",2015," 10",NA
"MELAKA",2015," 10",NA
"JOHOR",2015," 10",NA
"PAHANG",2015," 10",NA
"TERENGGANU",2015," 10",NA
"KELANTAN",2015," 10",NA
"SARAWAK",2015," 10",NA
"SABAH",2015," 10",NA
"LABUAN",2015," 10",NA
"MALAYSIA",2015," 10","0"
"PERLIS",2010," 11","1"
"KEDAH",2010," 11","12"
"PULAU PINANG",2010," 11","18"
"PERAK",2010," 11","31"
"SELANGOR",2010," 11","447"
"WPKL/PUTRAJAYA",2010," 11","140"
"N.SEMBILAN",2010," 11","25"
"MELAKA",2010," 11","11"
"JOHOR",2010," 11","53"
"PAHANG",2010," 11","21"
"TERENGGANU",2010," 11","15"
"KELANTAN",2010," 11","23"
"SARAWAK",2010," 11","72"
"SABAH",2010," 11","29"
"LABUAN",2010," 11","0"
"MALAYSIA",2010," 11","898"
"PERLIS",2011," 11","0"
"KEDAH",2011," 11","4"
"PULAU PINANG",2011," 11","36"
"PERAK",2011," 11","28"
"SELANGOR",2011," 11","127"
"WPKL/PUTRAJAYA",2011," 11","18"
"N.SEMBILAN",2011," 11","13"
"MELAKA",2011," 11","7"
"JOHOR",2011," 11","48"
"PAHANG",2011," 11","25"
"TERENGGANU",2011," 11","13"
"KELANTAN",2011," 11","8"
"SARAWAK",2011," 11","22"
"SABAH",2011," 11","8"
"LABUAN",2011," 11","0"
"MALAYSIA",2011," 11","357"
"PERLIS",2012," 11","7"
"KEDAH",2012," 11","12"
"PULAU PINANG",2012," 11","18"
"PERAK",2012," 11","26"
"SELANGOR",2012," 11","208"
"WPKL/PUTRAJAYA",2012," 11","56"
"N.SEMBILAN",2012," 11","8"
"MELAKA",2012," 11","19"
"JOHOR",2012," 11","31"
"PAHANG",2012," 11","8"
"TERENGGANU",2012," 11","17"
"KELANTAN",2012," 11","37"
"SARAWAK",2012," 11","21"
"SABAH",2012," 11","11"
"LABUAN",2012," 11","1"
"MALAYSIA",2012," 11","480"
"PERLIS",2013," 11","3"
"KEDAH",2013," 11","12"
"PULAU PINANG",2013," 11","8"
"PERAK",2013," 11","44"
"SELANGOR",2013," 11","179"
"WPKL/PUTRAJAYA",2013," 11","45"
"N.SEMBILAN",2013," 11","12"
"MELAKA",2013," 11","14"
"JOHOR",2013," 11","50"
"PAHANG",2013," 11","14"
"TERENGGANU",2013," 11","2"
"KELANTAN",2013," 11","32"
"SARAWAK",2013," 11","37"
"SABAH",2013," 11","9"
"LABUAN",2013," 11","0"
"MALAYSIA",2013," 11","461"
"PERLIS",2014," 11","3"
"KEDAH",2014," 11","7"
"PULAU PINANG",2014," 11","37"
"PERAK",2014," 11","142"
"SELANGOR",2014," 11","1102"
"WPKL/PUTRAJAYA",2014," 11","163"
"N.SEMBILAN",2014," 11","73"
"MELAKA",2014," 11","49"
"JOHOR",2014," 11","97"
"PAHANG",2014," 11","29"
"TERENGGANU",2014," 11","11"
"KELANTAN",2014," 11","141"
"SARAWAK",2014," 11","23"
"SABAH",2014," 11","25"
"LABUAN",2014," 11","0"
"MALAYSIA",2014," 11","1902"
"PERLIS",2015," 11",NA
"KEDAH",2015," 11",NA
"PULAU PINANG",2015," 11",NA
"PERAK",2015," 11",NA
"SELANGOR",2015," 11",NA
"WPKL/PUTRAJAYA",2015," 11",NA
"N.SEMBILAN",2015," 11",NA
"MELAKA",2015," 11",NA
"JOHOR",2015," 11",NA
"PAHANG",2015," 11",NA
"TERENGGANU",2015," 11",NA
"KELANTAN",2015," 11",NA
"SARAWAK",2015," 11",NA
"SABAH",2015," 11",NA
"LABUAN",2015," 11",NA
"MALAYSIA",2015," 11","0"
"PERLIS",2010," 12","1"
"KEDAH",2010," 12","15"
"PULAU PINANG",2010," 12","14"
"PERAK",2010," 12","27"
"SELANGOR",2010," 12","381"
"WPKL/PUTRAJAYA",2010," 12","107"
"N.SEMBILAN",2010," 12","20"
"MELAKA",2010," 12","6"
"JOHOR",2010," 12","51"
"PAHANG",2010," 12","28"
"TERENGGANU",2010," 12","12"
"KELANTAN",2010," 12","35"
"SARAWAK",2010," 12","87"
"SABAH",2010," 12","13"
"LABUAN",2010," 12","0"
"MALAYSIA",2010," 12","797"
"PERLIS",2011," 12","0"
"KEDAH",2011," 12","6"
"PULAU PINANG",2011," 12","34"
"PERAK",2011," 12","16"
"SELANGOR",2011," 12","103"
"WPKL/PUTRAJAYA",2011," 12","32"
"N.SEMBILAN",2011," 12","14"
"MELAKA",2011," 12","7"
"JOHOR",2011," 12","22"
"PAHANG",2011," 12","16"
"TERENGGANU",2011," 12","16"
"KELANTAN",2011," 12","10"
"SARAWAK",2011," 12","13"
"SABAH",2011," 12","11"
"LABUAN",2011," 12","1"
"MALAYSIA",2011," 12","301"
"PERLIS",2012," 12","4"
"KEDAH",2012," 12","15"
"PULAU PINANG",2012," 12","13"
"PERAK",2012," 12","29"
"SELANGOR",2012," 12","217"
"WPKL/PUTRAJAYA",2012," 12","60"
"N.SEMBILAN",2012," 12","6"
"MELAKA",2012," 12","9"
"JOHOR",2012," 12","24"
"PAHANG",2012," 12","12"
"TERENGGANU",2012," 12","26"
"KELANTAN",2012," 12","28"
"SARAWAK",2012," 12","27"
"SABAH",2012," 12","7"
"LABUAN",2012," 12","0"
"MALAYSIA",2012," 12","477"
"PERLIS",2013," 12","0"
"KEDAH",2013," 12","13"
"PULAU PINANG",2013," 12","10"
"PERAK",2013," 12","50"
"SELANGOR",2013," 12","226"
"WPKL/PUTRAJAYA",2013," 12","56"
"N.SEMBILAN",2013," 12","8"
"MELAKA",2013," 12","8"
"JOHOR",2013," 12","48"
"PAHANG",2013," 12","7"
"TERENGGANU",2013," 12","2"
"KELANTAN",2013," 12","32"
"SARAWAK",2013," 12","21"
"SABAH",2013," 12","14"
"LABUAN",2013," 12","0"
"MALAYSIA",2013," 12","495"
"PERLIS",2014," 12","4"
"KEDAH",2014," 12","9"
"PULAU PINANG",2014," 12","35"
"PERAK",2014," 12","113"
"SELANGOR",2014," 12","1029"
"WPKL/PUTRAJAYA",2014," 12","111"
"N.SEMBILAN",2014," 12","37"
"MELAKA",2014," 12","39"
"JOHOR",2014," 12","86"
"PAHANG",2014," 12","21"
"TERENGGANU",2014," 12","11"
"KELANTAN",2014," 12","135"
"SARAWAK",2014," 12","14"
"SABAH",2014," 12","22"
"LABUAN",2014," 12","0"
"MALAYSIA",2014," 12","1666"
"PERLIS",2015," 12",NA
"KEDAH",2015," 12",NA
"PULAU PINANG",2015," 12",NA
"PERAK",2015," 12",NA
"SELANGOR",2015," 12",NA
"WPKL/PUTRAJAYA",2015," 12",NA
"N.SEMBILAN",2015," 12",NA
"MELAKA",2015," 12",NA
"JOHOR",2015," 12",NA
"PAHANG",2015," 12",NA
"TERENGGANU",2015," 12",NA
"KELANTAN",2015," 12",NA
"SARAWAK",2015," 12",NA
"SABAH",2015," 12",NA
"LABUAN",2015," 12",NA
"MALAYSIA",2015," 12","0"
"PERLIS",2010," 13","1"
"KEDAH",2010," 13","12"
"PULAU PINANG",2010," 13","18"
"PERAK",2010," 13","40"
"SELANGOR",2010," 13","425"
"WPKL/PUTRAJAYA",2010," 13","94"
"N.SEMBILAN",2010," 13","23"
"MELAKA",2010," 13","11"
"JOHOR",2010," 13","66"
"PAHANG",2010," 13","19"
"TERENGGANU",2010," 13","13"
"KELANTAN",2010," 13","21"
"SARAWAK",2010," 13","55"
"SABAH",2010," 13","25"
"LABUAN",2010," 13","0"
"MALAYSIA",2010," 13","823"
"PERLIS",2011," 13","0"
"KEDAH",2011," 13","4"
"PULAU PINANG",2011," 13","34"
"PERAK",2011," 13","22"
"SELANGOR",2011," 13","112"
"WPKL/PUTRAJAYA",2011," 13","30"
"N.SEMBILAN",2011," 13","17"
"MELAKA",2011," 13","4"
"JOHOR",2011," 13","30"
"PAHANG",2011," 13","17"
"TERENGGANU",2011," 13","30"
"KELANTAN",2011," 13","17"
"SARAWAK",2011," 13","13"
"SABAH",2011," 13","6"
"LABUAN",2011," 13","0"
"MALAYSIA",2011," 13","336"
"PERLIS",2012," 13","4"
"KEDAH",2012," 13","10"
"PULAU PINANG",2012," 13","16"
"PERAK",2012," 13","29"
"SELANGOR",2012," 13","204"
"WPKL/PUTRAJAYA",2012," 13","58"
"N.SEMBILAN",2012," 13","6"
"MELAKA",2012," 13","18"
"JOHOR",2012," 13","39"
"PAHANG",2012," 13","12"
"TERENGGANU",2012," 13","18"
"KELANTAN",2012," 13","26"
"SARAWAK",2012," 13","18"
"SABAH",2012," 13","8"
"LABUAN",2012," 13","0"
"MALAYSIA",2012," 13","466"
"PERLIS",2013," 13","4"
"KEDAH",2013," 13","16"
"PULAU PINANG",2013," 13","16"
"PERAK",2013," 13","34"
"SELANGOR",2013," 13","192"
"WPKL/PUTRAJAYA",2013," 13","33"
"N.SEMBILAN",2013," 13","9"
"MELAKA",2013," 13","10"
"JOHOR",2013," 13","57"
"PAHANG",2013," 13","6"
"TERENGGANU",2013," 13","6"
"KELANTAN",2013," 13","26"
"SARAWAK",2013," 13","20"
"SABAH",2013," 13","11"
"LABUAN",2013," 13","0"
"MALAYSIA",2013," 13","440"
"PERLIS",2014," 13",NA
"KEDAH",2014," 13",NA
"PULAU PINANG",2014," 13",NA
"PERAK",2014," 13",NA
"SELANGOR",2014," 13",NA
"WPKL/PUTRAJAYA",2014," 13",NA
"N.SEMBILAN",2014," 13",NA
"MELAKA",2014," 13",NA
"JOHOR",2014," 13",NA
"PAHANG",2014," 13",NA
"TERENGGANU",2014," 13",NA
"KELANTAN",2014," 13",NA
"SARAWAK",2014," 13",NA
"SABAH",2014," 13",NA
"LABUAN",2014," 13",NA
"MALAYSIA",2014," 13","MISSING"
"PERLIS",2015," 13",NA
"KEDAH",2015," 13",NA
"PULAU PINANG",2015," 13",NA
"PERAK",2015," 13",NA
"SELANGOR",2015," 13",NA
"WPKL/PUTRAJAYA",2015," 13",NA
"N.SEMBILAN",2015," 13",NA
"MELAKA",2015," 13",NA
"JOHOR",2015," 13",NA
"PAHANG",2015," 13",NA
"TERENGGANU",2015," 13",NA
"KELANTAN",2015," 13",NA
"SARAWAK",2015," 13",NA
"SABAH",2015," 13",NA
"LABUAN",2015," 13",NA
"MALAYSIA",2015," 13","0"
"PERLIS",2010," 14","5"
"KEDAH",2010," 14","24"
"PULAU PINANG",2010," 14","14"
"PERAK",2010," 14","49"
"SELANGOR",2010," 14","460"
"WPKL/PUTRAJAYA",2010," 14","106"
"N.SEMBILAN",2010," 14","24"
"MELAKA",2010," 14","12"
"JOHOR",2010," 14","55"
"PAHANG",2010," 14","24"
"TERENGGANU",2010," 14","15"
"KELANTAN",2010," 14","21"
"SARAWAK",2010," 14","51"
"SABAH",2010," 14","26"
"LABUAN",2010," 14","0"
"MALAYSIA",2010," 14","886"
"PERLIS",2011," 14","1"
"KEDAH",2011," 14","3"
"PULAU PINANG",2011," 14","23"
"PERAK",2011," 14","27"
"SELANGOR",2011," 14","164"
"WPKL/PUTRAJAYA",2011," 14","36"
"N.SEMBILAN",2011," 14","17"
"MELAKA",2011," 14","7"
"JOHOR",2011," 14","31"
"PAHANG",2011," 14","14"
"TERENGGANU",2011," 14","6"
"KELANTAN",2011," 14","10"
"SARAWAK",2011," 14","11"
"SABAH",2011," 14","6"
"LABUAN",2011," 14","0"
"MALAYSIA",2011," 14","356"
"PERLIS",2012," 14","5"
"KEDAH",2012," 14","12"
"PULAU PINANG",2012," 14","21"
"PERAK",2012," 14","38"
"SELANGOR",2012," 14","186"
"WPKL/PUTRAJAYA",2012," 14","51"
"N.SEMBILAN",2012," 14","8"
"MELAKA",2012," 14","12"
"JOHOR",2012," 14","38"
"PAHANG",2012," 14","16"
"TERENGGANU",2012," 14","10"
"KELANTAN",2012," 14","15"
"SARAWAK",2012," 14","16"
"SABAH",2012," 14","3"
"LABUAN",2012," 14","0"
"MALAYSIA",2012," 14","431"
"PERLIS",2013," 14","5"
"KEDAH",2013," 14","13"
"PULAU PINANG",2013," 14","11"
"PERAK",2013," 14","46"
"SELANGOR",2013," 14","177"
"WPKL/PUTRAJAYA",2013," 14","51"
"N.SEMBILAN",2013," 14","11"
"MELAKA",2013," 14","4"
"JOHOR",2013," 14","50"
"PAHANG",2013," 14","11"
"TERENGGANU",2013," 14","1"
"KELANTAN",2013," 14","33"
"SARAWAK",2013," 14","19"
"SABAH",2013," 14","10"
"LABUAN",2013," 14","0"
"MALAYSIA",2013," 14","442"
"PERLIS",2014," 14",NA
"KEDAH",2014," 14","4"
"PULAU PINANG",2014," 14",NA
"PERAK",2014," 14","16"
"SELANGOR",2014," 14",NA
"WPKL/PUTRAJAYA",2014," 14",NA
"N.SEMBILAN",2014," 14","12"
"MELAKA",2014," 14",NA
"JOHOR",2014," 14",NA
"PAHANG",2014," 14","3"
"TERENGGANU",2014," 14",NA
"KELANTAN",2014," 14","6"
"SARAWAK",2014," 14",NA
"SABAH",2014," 14","11"
"LABUAN",2014," 14",NA
"MALAYSIA",2014," 14","INCOMPLETE"
"PERLIS",2015," 14",NA
"KEDAH",2015," 14",NA
"PULAU PINANG",2015," 14",NA
"PERAK",2015," 14",NA
"SELANGOR",2015," 14",NA
"WPKL/PUTRAJAYA",2015," 14",NA
"N.SEMBILAN",2015," 14",NA
"MELAKA",2015," 14",NA
"JOHOR",2015," 14",NA
"PAHANG",2015," 14",NA
"TERENGGANU",2015," 14",NA
"KELANTAN",2015," 14",NA
"SARAWAK",2015," 14",NA
"SABAH",2015," 14",NA
"LABUAN",2015," 14",NA
"MALAYSIA",2015," 14","0"
"PERLIS",2010," 15","1"
"KEDAH",2010," 15","21"
"PULAU PINANG",2010," 15","21"
"PERAK",2010," 15","29"
"SELANGOR",2010," 15","459"
"WPKL/PUTRAJAYA",2010," 15","109"
"N.SEMBILAN",2010," 15","25"
"MELAKA",2010," 15","11"
"JOHOR",2010," 15","79"
"PAHANG",2010," 15","17"
"TERENGGANU",2010," 15","18"
"KELANTAN",2010," 15","38"
"SARAWAK",2010," 15","66"
"SABAH",2010," 15","19"
"LABUAN",2010," 15","1"
"MALAYSIA",2010," 15","914"
"PERLIS",2011," 15","1"
"KEDAH",2011," 15","7"
"PULAU PINANG",2011," 15","43"
"PERAK",2011," 15","22"
"SELANGOR",2011," 15","180"
"WPKL/PUTRAJAYA",2011," 15","47"
"N.SEMBILAN",2011," 15","13"
"MELAKA",2011," 15","5"
"JOHOR",2011," 15","33"
"PAHANG",2011," 15","11"
"TERENGGANU",2011," 15","8"
"KELANTAN",2011," 15","8"
"SARAWAK",2011," 15","12"
"SABAH",2011," 15","8"
"LABUAN",2011," 15","0"
"MALAYSIA",2011," 15","398"
"PERLIS",2012," 15","2"
"KEDAH",2012," 15","25"
"PULAU PINANG",2012," 15","14"
"PERAK",2012," 15","35"
"SELANGOR",2012," 15","206"
"WPKL/PUTRAJAYA",2012," 15","58"
"N.SEMBILAN",2012," 15","8"
"MELAKA",2012," 15","11"
"JOHOR",2012," 15","39"
"PAHANG",2012," 15","13"
"TERENGGANU",2012," 15","6"
"KELANTAN",2012," 15","17"
"SARAWAK",2012," 15","17"
"SABAH",2012," 15","12"
"LABUAN",2012," 15","0"
"MALAYSIA",2012," 15","463"
"PERLIS",2013," 15","2"
"KEDAH",2013," 15","15"
"PULAU PINANG",2013," 15","10"
"PERAK",2013," 15","30"
"SELANGOR",2013," 15","176"
"WPKL/PUTRAJAYA",2013," 15","27"
"N.SEMBILAN",2013," 15","9"
"MELAKA",2013," 15","11"
"JOHOR",2013," 15","32"
"PAHANG",2013," 15","10"
"TERENGGANU",2013," 15","4"
"KELANTAN",2013," 15","27"
"SARAWAK",2013," 15","25"
"SABAH",2013," 15","14"
"LABUAN",2013," 15","0"
"MALAYSIA",2013," 15","392"
"PERLIS",2014," 15","1"
"KEDAH",2014," 15","8"
"PULAU PINANG",2014," 15","20"
"PERAK",2014," 15","70"
"SELANGOR",2014," 15","881"
"WPKL/PUTRAJAYA",2014," 15","67"
"N.SEMBILAN",2014," 15","23"
"MELAKA",2014," 15","24"
"JOHOR",2014," 15","67"
"PAHANG",2014," 15","16"
"TERENGGANU",2014," 15","9"
"KELANTAN",2014," 15","97"
"SARAWAK",2014," 15","14"
"SABAH",2014," 15","11"
"LABUAN",2014," 15","5"
"MALAYSIA",2014," 15","1313"
"PERLIS",2015," 15",NA
"KEDAH",2015," 15",NA
"PULAU PINANG",2015," 15",NA
"PERAK",2015," 15",NA
"SELANGOR",2015," 15",NA
"WPKL/PUTRAJAYA",2015," 15",NA
"N.SEMBILAN",2015," 15",NA
"MELAKA",2015," 15",NA
"JOHOR",2015," 15",NA
"PAHANG",2015," 15",NA
"TERENGGANU",2015," 15",NA
"KELANTAN",2015," 15",NA
"SARAWAK",2015," 15",NA
"SABAH",2015," 15",NA
"LABUAN",2015," 15",NA
"MALAYSIA",2015," 15","0"
"PERLIS",2010," 16","4"
"KEDAH",2010," 16","18"
"PULAU PINANG",2010," 16","18"
"PERAK",2010," 16","38"
"SELANGOR",2010," 16","441"
"WPKL/PUTRAJAYA",2010," 16","138"
"N.SEMBILAN",2010," 16","37"
"MELAKA",2010," 16","18"
"JOHOR",2010," 16","50"
"PAHANG",2010," 16","13"
"TERENGGANU",2010," 16","17"
"KELANTAN",2010," 16","29"
"SARAWAK",2010," 16","42"
"SABAH",2010," 16","22"
"LABUAN",2010," 16","0"
"MALAYSIA",2010," 16","885"
"PERLIS",2011," 16","3"
"KEDAH",2011," 16","10"
"PULAU PINANG",2011," 16","54"
"PERAK",2011," 16","21"
"SELANGOR",2011," 16","168"
"WPKL/PUTRAJAYA",2011," 16","34"
"N.SEMBILAN",2011," 16","13"
"MELAKA",2011," 16","1"
"JOHOR",2011," 16","32"
"PAHANG",2011," 16","11"
"TERENGGANU",2011," 16","8"
"KELANTAN",2011," 16","15"
"SARAWAK",2011," 16","15"
"SABAH",2011," 16","11"
"LABUAN",2011," 16","0"
"MALAYSIA",2011," 16","396"
"PERLIS",2012," 16","4"
"KEDAH",2012," 16","21"
"PULAU PINANG",2012," 16","19"
"PERAK",2012," 16","18"
"SELANGOR",2012," 16","193"
"WPKL/PUTRAJAYA",2012," 16","51"
"N.SEMBILAN",2012," 16","11"
"MELAKA",2012," 16","11"
"JOHOR",2012," 16","31"
"PAHANG",2012," 16","22"
"TERENGGANU",2012," 16","12"
"KELANTAN",2012," 16","23"
"SARAWAK",2012," 16","25"
"SABAH",2012," 16","8"
"LABUAN",2012," 16","1"
"MALAYSIA",2012," 16","450"
"PERLIS",2013," 16","1"
"KEDAH",2013," 16","16"
"PULAU PINANG",2013," 16","9"
"PERAK",2013," 16","45"
"SELANGOR",2013," 16","189"
"WPKL/PUTRAJAYA",2013," 16","34"
"N.SEMBILAN",2013," 16","13"
"MELAKA",2013," 16","5"
"JOHOR",2013," 16","36"
"PAHANG",2013," 16","7"
"TERENGGANU",2013," 16","5"
"KELANTAN",2013," 16","34"
"SARAWAK",2013," 16","19"
"SABAH",2013," 16","9"
"LABUAN",2013," 16","0"
"MALAYSIA",2013," 16","422"
"PERLIS",2014," 16","0"
"KEDAH",2014," 16","15"
"PULAU PINANG",2014," 16","21"
"PERAK",2014," 16","80"
"SELANGOR",2014," 16","762"
"WPKL/PUTRAJAYA",2014," 16","88"
"N.SEMBILAN",2014," 16","44"
"MELAKA",2014," 16","23"
"JOHOR",2014," 16","68"
"PAHANG",2014," 16","17"
"TERENGGANU",2014," 16","9"
"KELANTAN",2014," 16","91"
"SARAWAK",2014," 16","14"
"SABAH",2014," 16","20"
"LABUAN",2014," 16","0"
"MALAYSIA",2014," 16","1252"
"PERLIS",2015," 16",NA
"KEDAH",2015," 16",NA
"PULAU PINANG",2015," 16",NA
"PERAK",2015," 16",NA
"SELANGOR",2015," 16",NA
"WPKL/PUTRAJAYA",2015," 16",NA
"N.SEMBILAN",2015," 16",NA
"MELAKA",2015," 16",NA
"JOHOR",2015," 16",NA
"PAHANG",2015," 16",NA
"TERENGGANU",2015," 16",NA
"KELANTAN",2015," 16",NA
"SARAWAK",2015," 16",NA
"SABAH",2015," 16",NA
"LABUAN",2015," 16",NA
"MALAYSIA",2015," 16","0"
"PERLIS",2010," 17","2"
"KEDAH",2010," 17","18"
"PULAU PINANG",2010," 17","17"
"PERAK",2010," 17","40"
"SELANGOR",2010," 17","329"
"WPKL/PUTRAJAYA",2010," 17","119"
"N.SEMBILAN",2010," 17","51"
"MELAKA",2010," 17","16"
"JOHOR",2010," 17","62"
"PAHANG",2010," 17","20"
"TERENGGANU",2010," 17","12"
"KELANTAN",2010," 17","31"
"SARAWAK",2010," 17","55"
"SABAH",2010," 17","18"
"LABUAN",2010," 17","0"
"MALAYSIA",2010," 17","790"
"PERLIS",2011," 17","1"
"KEDAH",2011," 17","9"
"PULAU PINANG",2011," 17","62"
"PERAK",2011," 17","20"
"SELANGOR",2011," 17","126"
"WPKL/PUTRAJAYA",2011," 17","32"
"N.SEMBILAN",2011," 17","24"
"MELAKA",2011," 17","8"
"JOHOR",2011," 17","31"
"PAHANG",2011," 17","12"
"TERENGGANU",2011," 17","6"
"KELANTAN",2011," 17","9"
"SARAWAK",2011," 17","13"
"SABAH",2011," 17","9"
"LABUAN",2011," 17","0"
"MALAYSIA",2011," 17","362"
"PERLIS",2012," 17","2"
"KEDAH",2012," 17","23"
"PULAU PINANG",2012," 17","13"
"PERAK",2012," 17","21"
"SELANGOR",2012," 17","214"
"WPKL/PUTRAJAYA",2012," 17","62"
"N.SEMBILAN",2012," 17","11"
"MELAKA",2012," 17","9"
"JOHOR",2012," 17","32"
"PAHANG",2012," 17","17"
"TERENGGANU",2012," 17","8"
"KELANTAN",2012," 17","10"
"SARAWAK",2012," 17","22"
"SABAH",2012," 17","9"
"LABUAN",2012," 17","0"
"MALAYSIA",2012," 17","453"
"PERLIS",2013," 17","2"
"KEDAH",2013," 17","16"
"PULAU PINANG",2013," 17","10"
"PERAK",2013," 17","39"
"SELANGOR",2013," 17","191"
"WPKL/PUTRAJAYA",2013," 17","62"
"N.SEMBILAN",2013," 17","19"
"MELAKA",2013," 17","8"
"JOHOR",2013," 17","85"
"PAHANG",2013," 17","2"
"TERENGGANU",2013," 17","5"
"KELANTAN",2013," 17","28"
"SARAWAK",2013," 17","26"
"SABAH",2013," 17","7"
"LABUAN",2013," 17","0"
"MALAYSIA",2013," 17","500"
"PERLIS",2014," 17","1"
"KEDAH",2014," 17","15"
"PULAU PINANG",2014," 17","17"
"PERAK",2014," 17","63"
"SELANGOR",2014," 17","577"
"WPKL/PUTRAJAYA",2014," 17","80"
"N.SEMBILAN",2014," 17","18"
"MELAKA",2014," 17","18"
"JOHOR",2014," 17","37"
